#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),
pre,vim,Text Editor,
pre,htop,Check CPU and Ram usage,
pre,refind, Boot loader for UEFI,
pre,networkmanager,Network management,
pre,openssh,ssh server,
pre,firewalld,firewall,
Post Inst,,,
,terminator,terminal emulator,
Intel,xf86-video-intel,Intel Video Drivers,
,i3-gaps,i3,
,dmenu,,
,ttf-dejavu,Fonts for i3,
,i3blocks,,
,xorg,includes xorg-server but not xorg-xinit, 
,xorg-xinit,"installs: xorg-xinit, inetutils, includes /etc/X11/xinit/xinitrc",
,xterm,You will probably want/need this,
,pulseaudio-alsa,is the audio system.,
,pulsemixer,is an audio controler.,
,pamixer,is a command-line audio interface.,
,,,
,,,
,,,
,,,
,,,
,xorg-xeyes xorg-xclock,?????????,
,nm-applet,Network management applet,
